disease,metric,method,n_pairs,method_mean,RWR_mean,mean_increase_over_RWR,t_statistic,p_value,significance
amyotrophic lateral sclerosis,Recall@25,GCN,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@300,rNBR,2,0.1,0.1,0.0,0.0,1.0,ns
amyotrophic lateral sclerosis,Recall@300,RWR,2,0.1,0.1,0.0,0.0,1.0,ns
amyotrophic lateral sclerosis,Recall@300,DK,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@300,DK*,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@300,QA0,2,0.1,0.1,0.0,0.0,1.0,ns
amyotrophic lateral sclerosis,Recall@300,QA1,2,0.2,0.1,0.1,1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@300,QA*,2,0.2,0.1,0.1,1.0,0.49999999999999956,ns
amyotrophic lateral sclerosis,Recall@300,DIAMOND,2,0.1,0.1,0.0,0.0,1.0,ns
amyotrophic lateral sclerosis,Recall@300,GCN,2,0.0,0.1,-0.1,-1.0,0.49999999999999956,ns
anemia aplastic,AP@25,rNBR,2,0.016666666666666666,0.00909090909090909,0.007575757575757576,0.29411764705882354,0.8178939962885025,ns
anemia aplastic,AP@25,RWR,2,0.075,0.00909090909090909,0.0659090909090909,0.7837837837837837,0.5767914124336078,ns
anemia aplastic,AP@25,DK,2,0.00909090909090909,0.00909090909090909,0.0,0.0,1.0,ns
anemia aplastic,AP@25,DK*,2,0.007692307692307693,0.00909090909090909,-0.0013986013986013977,-0.08333333333333329,0.9470706478808203,ns
anemia aplastic,AP@25,QA0,2,0.005,0.00909090909090909,-0.00409090909090909,-0.29032258064516125,0.8201199304774786,ns
anemia aplastic,AP@25,QA1,2,0.026666666666666665,0.00909090909090909,0.017575757575757574,0.4915254237288136,0.709163444647112,ns
anemia aplastic,AP@25,QA*,2,0.017216117216117217,0.00909090909090909,0.008125208125208127,0.3088607594936709,0.8092903757591092,ns
anemia aplastic,AP@25,DIAMOND,2,0.1,0.00909090909090909,0.09090909090909091,0.8333333333333333,0.5577158767526091,ns
anemia aplastic,AP@25,GCN,2,0.05357142857142857,0.00909090909090909,0.04448051948051948,0.7098445595854923,0.6070129976940002,ns
anemia aplastic,AP@300,rNBR,2,0.030911198967312363,0.051019467199807364,-0.020108268232495004,-1.7411977002808776,0.33188330581580394,ns
anemia aplastic,AP@300,RWR,2,0.10608616433493187,0.051019467199807364,0.05506669713512451,0.7834251048168279,0.5769328851973381,ns
anemia aplastic,AP@300,DK,2,0.014354066985645933,0.051019467199807364,-0.03666540021416143,-7.1847640737071226,0.08804130867684583,ns
anemia aplastic,AP@300,DK*,2,0.013097713097713098,0.051019467199807364,-0.037921754102094266,-9.85784173914501,0.06435987334794957,ns
anemia aplastic,AP@300,QA0,2,0.022046768243576757,0.051019467199807364,-0.028972698956230607,-43.71924490630679,0.014559006803876463,*
anemia aplastic,AP@300,QA1,2,0.040214721422180424,0.051019467199807364,-0.010804745777626936,-0.45934934644733233,0.7258705150800709,ns
anemia aplastic,AP@300,QA*,2,0.03048320551555527,0.051019467199807364,-0.020536261684252093,-2.751325063486779,0.2219360406742484,ns
anemia aplastic,AP@300,DIAMOND,2,0.13510742007872567,0.051019467199807364,0.08408795287891832,0.8631027310559096,0.546693705215986,ns
anemia aplastic,AP@300,GCN,2,0.09286039207453288,0.051019467199807364,0.041840924874725516,0.7793509065935939,0.5785433217385255,ns
anemia aplastic,Recall@25,rNBR,2,0.1,0.1,0.0,0.0,1.0,ns
anemia aplastic,Recall@25,RWR,2,0.2,0.1,0.1,0.3333333333333333,0.7951672353008665,ns
anemia aplastic,Recall@25,DK,2,0.1,0.1,0.0,0.0,1.0,ns
anemia aplastic,Recall@25,DK*,2,0.1,0.1,0.0,0.0,1.0,ns
anemia aplastic,Recall@25,QA0,2,0.1,0.1,0.0,0.0,1.0,ns
anemia aplastic,Recall@25,QA1,2,0.2,0.1,0.1,0.3333333333333333,0.7951672353008665,ns
anemia aplastic,Recall@25,QA*,2,0.2,0.1,0.1,0.3333333333333333,0.7951672353008665,ns
anemia aplastic,Recall@25,DIAMOND,2,0.1,0.1,0.0,0.0,1.0,ns
anemia aplastic,Recall@25,GCN,2,0.2,0.1,0.1,0.3333333333333333,0.7951672353008665,ns
anemia aplastic,Recall@300,rNBR,2,0.8,0.9,-0.10000000000000003,-1.0,0.49999999999999956,ns
anemia aplastic,Recall@300,RWR,2,0.9,0.9,0.0,0.0,1.0,ns
anemia aplastic,Recall@300,DK,2,0.2,0.9,-0.7,-6.999999999999997,0.09033447060173314,ns
anemia aplastic,Recall@300,DK*,2,0.2,0.9,-0.7,-6.999999999999997,0.09033447060173314,ns
anemia aplastic,Recall@300,QA0,2,0.6,0.9,-0.30000000000000004,-3.0000000000000013,0.2048327646991333,ns
anemia aplastic,Recall@300,QA1,2,0.6000000000000001,0.9,-0.3,-2.999999999999999,0.2048327646991335,ns
